name_clean,id,label,description
Victor Hugo,Q535,Victor Hugo,"French poet, novelist, and dramatist (1802-1885)"
Paltinului,NA,NA,NA
Giuseppe Garibaldi,Q539,Giuseppe Garibaldi,"Italian general, patriot and republican"
Daliei,NA,NA,NA
Dulgherilor,NA,NA,NA
Florilor,NA,NA,NA
Kiev,NA,NA,NA
Record,NA,NA,NA
George Bacovia,Q301391,George Bacovia,Romanian writer
Gimnasticii,NA,NA,NA
Alexandru Papiu-Ilarian,Q276824,Alexandru Papiu Ilarian,Romanian lawyer (1827-1867)
Poet Aron Cotruș,Q12721002,NA,NA
Albinelor,NA,NA,NA
Crișului,NA,NA,NA
Gheorghe Doja,Q366978,Gheorghe Doja,Szekler patriot
Ion Popovici-Bănățeanu,Q18547007,Ioan Popovici-Bănățeanul,Austro-Hungarian-born Romanian prose writer and poet
Johann Sebastian Bach,Q1339,Johann Sebastian Bach,German composer and musician of the Baroque era
Tohan,NA,NA,NA
Vulcan,NA,NA,NA
Solidarității,NA,NA,NA
General Moșoiu,Q7832693,NA,NA
Privighetori,NA,NA,NA
Plopilor,NA,NA,NA
Dragoner,NA,NA,NA
Tractorului,NA,NA,NA
Odessa,NA,NA,NA
Gheorghe Asachi,Q661452,Gheorghe Asachi,Romanian polymath (1788-1869)
Paris,NA,NA,NA
Zăvoi,NA,NA,NA
Dealului,NA,NA,NA
Dorobanților,NA,NA,NA
Liviu Rebreanu,Q462220,Liviu Rebreanu,Romanian writer
Pietrarilor,NA,NA,NA
Croitorilor,NA,NA,NA
Nouă,NA,NA,NA
Blănarilor,NA,NA,NA
Ioan Codru Drăgușanu,Q12730814,Ion Codru-Drăgușanu,Austro-Hungarian ethnic Romanian prose writer
Negovanu,NA,NA,NA
Preot Bacca,NA,NA,NA
Hameiului,NA,NA,NA
Budislavu,NA,NA,NA
Topazului,NA,NA,NA
Nicolae Grigorescu,Q454321,Nicolae Grigorescu,Romanian artist (1838-1907)
Milano,NA,NA,NA
Prelungirea Săcel,NA,NA,NA
Piotr Ilici Ceaikovski,Q7315,Pyotr Ilyich Tchaikovsky,Russian composer
Cedonia,NA,NA,NA
Tineretului,NA,NA,NA
Maior Niță Octavian,NA,NA,NA
Drum Nou,NA,NA,NA
Școlii,NA,NA,NA
Amnaș,NA,NA,NA
Tilișca,NA,NA,NA
Crișan,Q12725978,Gheorghe Crișan,NA
Neppendorf,NA,NA,NA
Mihai Kogălniceanu,Q319759,NA,NA
Cibinului,NA,NA,NA
Bahluiului,NA,NA,NA
Salzburg,NA,NA,NA
Dumbrăvii - Cimitir,NA,NA,NA
Rampa Ștefan cel Mare,Q218134,NA,NA
Theodor Aman,Q716808,Theodor Aman,painter (1831-1891)
Barcelona,NA,NA,NA
Monaco,NA,NA,NA
Spitalului,NA,NA,NA
Gheorghe Șoima,NA,NA,NA
Picasso,Q5593,Pablo Picasso,Spanish artist (1881-1973)
Nicolae Tonitza,Q733762,Nicolae Tonitza,Romanian painter (1886-1940)
Roma,NA,NA,NA
Luxemburg,NA,NA,NA
Vinului,NA,NA,NA
Bucovinei,NA,NA,NA
Interna Aeroporto,NA,NA,NA
Friedrich von Schiller,Q22670,Friedrich Schiller,"German poet, philosopher, historian, and playwright"
Emil Cioran,Q193405,Emil Cioran,Romanian philosopher and essayist
Orzului,NA,NA,NA
Măslinului,NA,NA,NA
Lacul lui Binder,NA,NA,NA
Cugir,NA,NA,NA
München,NA,NA,NA
Atena,NA,NA,NA
Olarilor,NA,NA,NA
Markt,NA,NA,NA
Dafinului,NA,NA,NA
Lavandei,NA,NA,NA
Toporașilor,NA,NA,NA
Valea Săpunului,NA,NA,NA
Berna,NA,NA,NA
Iacob Bologa,Q22917077,Iacob Bologa,NA
General Jean Maximilien Lamarque,Q580516,NA,NA
Teilor,NA,NA,NA
Cireșului,NA,NA,NA
Partenie Cosma,Q18539317,Partenie Cosma,NA
Onisifor Ghibu,Q4137961,Onisifor Ghibu,Romanian academic and politician
Sibiului,NA,NA,NA
Elena Cuza Doamna,Q4975558,NA,NA
Cucului,NA,NA,NA
Dumbrava,NA,NA,NA
cu drumul,NA,NA,NA
